SeriesName,SeriesCode,CountryName,CountryCode,2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Africa Eastern and Southern,AFE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Africa Western and Central,AFW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Arab World,ARB,58.8121681213379,58.6921691894531,59.1082191467285,60.4463195800781,58.9698181152344,60.2376518249512,62.4384498596191,66.0942764282227,65.2387313842773,67.7367477416992,65.5670394897461,67.3514862060547,68.6543579101563,65.5303192138672,65.8576126098633,66.1968994140625
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Caribbean small states,CSS,91.4608535766602,91.6320877075195,92.3097915649414,92.5576705932617,92.7684631347656,92.9917678833008,93.1499099731445,93.0394897460938,92.8167495727539,92.9547271728516,93.0601425170898,..,..,..,..,..
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Central Europe and the Baltics,CEB,98.1644287109375,98.184440612793,98.2189102172852,98.2749710083008,98.5478668212891,98.5772323608398,98.6045684814453,98.6247100830078,98.6415405273438,98.6618728637695,98.6808471679688,98.7023162841797,..,..,..,..
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Early-demographic dividend,EAR,62.2886199951172,63.2813415527344,63.9684906005859,65.1654663085938,66.3205108642578,68.2902069091797,68.5623931884766,69.1880035400391,69.8251876831055,70.9527587890625,71.782470703125,72.5750274658203,73.2000198364258,73.6074829101563,74.2281799316406,74.8248062133789
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,East Asia & Pacific,EAS,89.0421676635742,89.6211318969727,91.0463027954102,91.4377212524414,91.9316787719727,92.0230331420898,91.8475799560547,92.1662979125977,92.3075714111328,92.9963912963867,93.2496032714844,93.4608917236328,93.7299270629883,93.9688186645508,94.1793975830078,94.3904495239258
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,East Asia & Pacific (excluding high income),EAP,89.1932678222656,89.7797088623047,91.3338317871094,91.6874923706055,92.1865692138672,92.3500137329102,92.2259979248047,92.5280532836914,92.6649932861328,93.2682418823242,93.510871887207,93.7154769897461,93.9788589477539,94.2144165039063,94.4261627197266,94.6399612426758
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,East Asia & Pacific (IDA & IBRD countries),TEA,89.053352355957,89.6480712890625,91.2224578857422,91.580680847168,92.086181640625,92.2517929077148,92.1261672973633,92.4321670532227,92.5709915161133,93.1820297241211,93.4277877807617,93.6351089477539,93.9019088745117,94.140510559082,94.3550186157227,94.5716400146484
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Euro area,EMU,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Europe & Central Asia,ECS,95.8200531005859,95.9930877685547,96.0484466552734,96.2576904296875,96.5780181884766,96.8193588256836,97.2597427368164,97.4097366333008,97.5055236816406,97.5713729858398,97.6362075805664,97.7679901123047,97.7851333618164,97.881706237793,97.9422836303711,98.0103988647461
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Europe & Central Asia (excluding high income),ECA,96.1099395751953,96.0571517944336,96.210693359375,96.2592010498047,97.0945434570313,97.5451812744141,97.9285202026367,98.1341018676758,98.2102737426758,98.2553634643555,98.2977600097656,98.4836120605469,98.4412307739258,98.5125732421875,98.566291809082,98.6183776855469
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Europe & Central Asia (IDA & IBRD countries),TEC,96.3416366577148,96.3018569946289,96.4371795654297,96.4877395629883,97.2599182128906,97.6474609375,97.9776000976563,98.1565322875977,98.2249374389648,98.2667999267578,98.3063812255859,98.4686279296875,98.4350891113281,98.499267578125,98.5484085083008,98.5962066650391
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,European Union,EUU,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Fragile and conflict affected situations,FCS,54.3054504394531,56.9934997558594,51.8481788635254,52.193489074707,51.4594192504883,52.0187492370605,51.8298797607422,53.7737007141113,54.1875305175781,55.371280670166,54.2995910644531,56.629150390625,57.4636116027832,56.1150093078613,56.434009552002,56.7585792541504
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Heavily indebted poor countries (HIPC),HPC,43.1811485290527,41.6185302734375,43.4425506591797,43.6836700439453,43.8421592712402,45.0719604492188,47.4903984069824,48.9824600219727,50.0585403442383,51.103199005127,51.8134002685547,52.9376106262207,54.125129699707,54.815860748291,55.6119499206543,56.3482208251953
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,High income,HIC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,IBRD only,IBD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
